# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
河南卫视高清,rtp://225.1.4.98:1127
河南都市频道高清,rtp://225.1.4.52:1081
河南民生频道,rtp://225.1.4.53:1082
河南法治频道,rtp://225.1.4.54:1083
河南电视剧频道高清,rtp://225.1.4.55:1084
河南新闻频道,rtp://225.1.4.56:1085
河南欢腾购物,rtp://225.1.4.57:1086
河南公共频道高清,rtp://225.1.4.58:1087
河南乡村频道,rtp://225.1.4.120:1149
河南国际频道,rtp://225.1.4.102:1131
睛彩中原,rtp://225.1.4.163:1203
移动戏曲,rtp://225.1.4.206:1254
河南文物宝库,rtp://225.1.4.100:1129
河南梨园频道,rtp://225.1.4.99:1128
河南武术世界,rtp://225.1.4.101:1130
